x,y
1,10976
2,4497
3,2500
4,1582
5,1131
6,801
7,606
8,513
9,388
10,318
11,233
12,195
13,210
14,161
15,127
16,127
17,97
18,111
19,87
20,69
21,43
22,53
23,49
24,47
25,37
26,37
27,33
28,39
29,28
30,24
31,15
32,28
33,22
34,18
35,10
36,21
37,17
38,17
39,11
40,12
41,11
42,6
43,14
44,10
45,7
46,12
47,5
48,2
49,10
50,5
51,4
52,5
53,1
54,8
55,5
56,2
57,1
58,4
59,1
60,6
61,3
62,2
63,6
64,2
65,1
66,1
67,1
68,2
69,2
71,1
72,3
73,1
74,2
75,1
76,2
78,3
82,1
83,1
85,1
86,1
90,1
91,1
93,1
97,1
99,1
103,1
106,1
108,1
111,1
114,2
117,1
122,1
124,1
127,1
129,1
130,1
135,1
